timestamp,temp,humidity,air quality(finedust generation),location,,,,
2026. 4. 10 오전 10:28:04,25.4,63.7,355,kitchen,,,,
2026. 4. 10 오전 10:29:11,25.4,64.5,480,kitchen,,,,
2026. 4. 10 오전 10:30:21,25.3,64.1,292,kitchen,,,,
2026. 4. 10 오전 10:31:52,25.3,55.6,406,kitchen,,,,
2026. 4. 10 오전 10:33:00,25.2,56,176,kitchen,,,,
2026. 4. 10 오전 10:36:02,24.9,48.1,150,kitchen,,,,
2026. 4. 10 오전 10:37:10,24.8,45.4,184,kitchen,,,,
2026. 4. 10 오전 10:38:17,24.7,46.4,107,kitchen,,,,
2026. 4. 10 오전 10:39:24,24.7,45.6,276,kitchen,,,,
2026. 4. 10 오전 10:40:31,24.5,42.9,80,kitchen,,,,
2026. 4. 10 오전 10:41:39,24.5,45.7,349,kitchen,,,,
